"day","replicate","copies_per_well","condition","marker"
54,"Replicate 1",9.775e+09,"Condition 1","Intracellular HBV DNA"
54,"Replicate 2",8.625e+09,"Condition 1","Intracellular HBV DNA"
54,"Replicate 3",1.08e+10,"Condition 1","Intracellular HBV DNA"
60,"Replicate 1",5.875e+09,"Condition 1","Intracellular HBV DNA"
60,"Replicate 2",7.575e+09,"Condition 1","Intracellular HBV DNA"
60,"Replicate 3",6.35e+09,"Condition 1","Intracellular HBV DNA"
2,"Replicate 1",243872.509002686,"Condition 2","Intracellular HBV DNA"
2,"Replicate 2",170229.167938232,"Condition 2","Intracellular HBV DNA"
2,"Replicate 3",310491.790771484,"Condition 2","Intracellular HBV DNA"
4,"Replicate 1",289853.229522705,"Condition 2","Intracellular HBV DNA"
4,"Replicate 2",234932.842254639,"Condition 2","Intracellular HBV DNA"
4,"Replicate 3",329347.229003906,"Condition 2","Intracellular HBV DNA"
6,"Replicate 1",3065050.65917969,"Condition 2","Intracellular HBV DNA"
6,"Replicate 2",3072025.14648438,"Condition 2","Intracellular HBV DNA"
6,"Replicate 3",3436968.07861328,"Condition 2","Intracellular HBV DNA"
9,"Replicate 1",7261039.42871094,"Condition 2","Intracellular HBV DNA"
9,"Replicate 2",11080401.6113281,"Condition 2","Intracellular HBV DNA"
9,"Replicate 3",7442551.26953125,"Condition 2","Intracellular HBV DNA"
12,"Replicate 1",5181051.63574219,"Condition 2","Intracellular HBV DNA"
12,"Replicate 2",5489677.734375,"Condition 2","Intracellular HBV DNA"
12,"Replicate 3",5072383.72802734,"Condition 2","Intracellular HBV DNA"
18,"Replicate 1",7463432.00683594,"Condition 2","Intracellular HBV DNA"
18,"Replicate 2",7240387.57324219,"Condition 2","Intracellular HBV DNA"
18,"Replicate 3",13514108.8867188,"Condition 2","Intracellular HBV DNA"
24,"Replicate 1",2258267.05932617,"Condition 2","Intracellular HBV DNA"
24,"Replicate 2",3746354.37011719,"Condition 2","Intracellular HBV DNA"
